"","subid","trial.num","item","item1","item2","word.type","image.type","choice.side","response","rt","date","time","gender","age","language"
"1","1",1,"car.bus","car","bus","noun","and/noun","right","noun",6191,"11/18/2015","13:19","M","25","English"
"2","1",2,"frog.turtle","turtle","frog","or","or/noun","left","or",3922,"11/18/2015","13:19","M","25","English"
"3","1",3,"plane.boat","boat","plane","and","and/or","left","and",4921,"11/18/2015","13:19","M","25","English"
"4","1",4,"table.chair","table","chair","noun","and/or","left","and",4485,"11/18/2015","13:19","M","25","English"
"5","1",5,"bird.monkey","monkey","bird","and","and/noun","left","and",2189,"11/18/2015","13:19","M","25","English"
"6","1",6,"sock.shoe","sock","shoe","and","or/noun","left","or",1791,"11/18/2015","13:19","M","25","English"
"7","1",7,"tree.flower","flower","tree","noun","and/or","left","and",3159,"11/18/2015","13:19","M","25","English"
"8","1",8,"banana.orange","orange","banana","or","and/or","right","or",4338,"11/18/2015","13:19","M","25","English"
"9","1",9,"penguin.fish","penguin","fish","and","and/or","left","and",4216,"11/18/2015","13:19","M","25","English"
"10","1",10,"comb.toothbrush","toothbrush","comb","noun","or/noun","right","noun",2292,"11/18/2015","13:19","M","25","English"
"11","1",11,"purse.watch","purse","watch","and","and/or","left","and",5818,"11/18/2015","13:19","M","25","English"
"12","1",12,"house.barn","barn","house","or","and/noun","right","noun",5253,"11/18/2015","13:19","M","25","English"
"13","1",13,"drum.guitar","guitar","drum","or","or/noun","left","or",3101,"11/18/2015","13:20","M","25","English"
"14","1",14,"cookie.pretzel","pretzel","cookie","or","and/or","right","or",14168,"11/18/2015","13:20","M","25","English"
"15","1",15,"apple.pear","pear","apple","noun","and/noun","right","noun",3612,"11/18/2015","13:20","M","25","English"
"16","1",16,"carrot.strawberry","strawberry","carrot","or","and/or","right","or",4104,"11/18/2015","13:20","M","25","English"
"17","1",17,"hat.mitten","hat","mitten","or","and/noun","right","noun",5242,"11/18/2015","13:20","M","25","English"
"18","1",18,"dog.cat","cat","dog","and","and/noun","left","and",3526,"11/18/2015","13:20","M","25","English"
"19","1",21,"necklace.dress","dress","necklace","and","and/or","left","and",4312,"11/18/2015","13:20","M","25","English"
"20","1",22,"giraffe.elephant","elephant","giraffe","and","and/noun","left","and",1850,"11/18/2015","13:20","M","25","English"
